Chan_0_1,Chan_0_2,Chan_1_2,timestamp,Latitude,Longitude,Altitude (m)
15,11,30,Sat Mar  18 11:08:47 2023,33.75198359,-84.37832011,305.1019937
16,12,21,Sat Mar  18 11:09:47 2023,33.75198242,-84.37832997,305.2793508
19,12,27,Sat Mar  18 11:10:47 2023,33.7512424,-84.37793719,305.8468741
16,17,26,Sat Mar  18 11:11:47 2023,33.75088212,-84.37668724,305.6933143
25,19,28,Sat Mar  18 11:12:47 2023,33.74843085,-84.37666377,314.3191097
24,16,29,Sat Mar  18 11:13:47 2023,33.74710245,-84.37667907,317.4900834
16,12,25,Sat Mar  18 11:14:47 2023,33.74676118,-84.3739533,319.6264708
16,13,34,Sat Mar  18 11:15:47 2023,33.74665674,-84.36877227,310.2837305
24,15,30,Sat Mar  18 11:16:47 2023,33.74665412,-84.36306446,295.506571
13,12,23,Sat Mar  18 11:17:47 2023,33.74660092,-84.35974959,304.2189712
16,13,30,Sat Mar  18 11:18:47 2023,33.74512851,-84.35829069,304.8328787
22,20,28,Sat Mar  18 11:19:47 2023,33.74188611,-84.35866283,299.4224645
21,13,31,Sat Mar  18 11:20:47 2023,33.74206616,-84.36065841,297.1102664
23,19,34,Sat Mar  18 11:21:47 2023,33.74158934,-84.36121296,298.330594
27,17,34,Sat Mar  18 11:22:47 2023,33.74147028,-84.36121846,298.7886585
29,24,29,Sat Mar  18 11:23:47 2023,33.74149908,-84.3612373,299.269577
23,22,34,Sat Mar  18 11:24:47 2023,33.74148866,-84.36120732,295.6496228
27,23,36,Sat Mar  18 11:25:47 2023,33.74148951,-84.36120166,298.5210628
38,31,51,Sat Mar  18 11:26:47 2023,33.74148951,-84.36120166,298.5210628
31,27,42,Sat Mar  18 11:27:47 2023,33.74154212,-84.36122468,300.0534892
19,15,26,Sat Mar  18 11:28:47 2023,33.74154141,-84.36123061,300.1658649
18,18,26,Sat Mar  18 11:29:47 2023,33.74204829,-84.35942397,296.839982
14,13,33,Sat Mar  18 11:30:47 2023,33.74184898,-84.35841928,301.3188683
34,22,31,Sat Mar  18 11:31:47 2023,33.74290304,-84.35817842,304.936061
28,23,34,Sat Mar  18 11:32:47 2023,33.74638985,-84.35819055,308.8026671
29,23,30,Sat Mar  18 11:33:47 2023,33.74638137,-84.35819137,308.3694679
36,29,45,Sat Mar  18 11:34:47 2023,33.74666948,-84.36065949,300.2843206
35,30,41,Sat Mar  18 11:35:47 2023,33.74675768,-84.36782422,305.5893592
18,20,37,Sat Mar  18 11:36:47 2023,33.7515333,-84.37106317,311.8850783
33,25,38,Sat Mar  18 11:37:47 2023,33.75536647,-84.37209776,312.7331403
28,23,40,Sat Mar  18 11:38:47 2023,33.75762858,-84.37205786,311.0722038
29,31,45,Sat Mar  18 11:39:47 2023,33.76115662,-84.37195788,319.4361775
32,26,38,Sat Mar  18 11:40:47 2023,33.76933213,-84.37181919,307.7914263
26,19,38,Sat Mar  18 11:41:47 2023,33.76973857,-84.37178699,306.8087907
28,27,43,Sat Mar  18 11:42:47 2023,33.77115756,-84.37172203,305.404755
29,22,31,Sat Mar  18 11:43:47 2023,33.77319047,-84.37109119,293.7705356
26,27,47,Sat Mar  18 11:44:47 2023,33.7793165,-84.36942201,269.4873975
31,26,54,Sat Mar  18 11:45:47 2023,33.7850057,-84.36761576,274.7798664
16,14,32,Sat Mar  18 11:46:47 2023,33.79079835,-84.36707972,263.5884399
28,28,43,Sat Mar  18 11:47:47 2023,33.79621314,-84.3681448,259.0067381
30,28,48,Sat Mar  18 11:48:47 2023,33.79786037,-84.36837929,266.4600856
32,23,42,Sat Mar  18 11:49:47 2023,33.80068527,-84.3675812,269.7475832
22,16,27,Sat Mar  18 11:50:47 2023,33.80516395,-84.36740827,282.3034331
24,20,34,Sat Mar  18 11:51:47 2023,33.80639971,-84.36680956,285.7249911
17,14,31,Sat Mar  18 11:52:47 2023,33.80691896,-84.3664781,287.650706
35,22,44,Sat Mar  18 11:53:47 2023,33.8106505,-84.36648563,266.2334877
25,25,37,Sat Mar  18 11:54:47 2023,33.81446392,-84.36653034,257.938081
26,26,34,Sat Mar  18 11:55:47 2023,33.81848199,-84.36703423,257.7347017
20,15,21,Sat Mar  18 11:56:47 2023,33.82265382,-84.3672577,272.5117965
20,17,39,Sat Mar  18 11:57:47 2023,33.82545807,-84.36710309,280.9979943
27,19,40,Sat Mar  18 11:58:47 2023,33.82810404,-84.36725178,264.7381023
19,17,32,Sat Mar  18 11:59:47 2023,33.82883244,-84.36749645,266.7788535
25,18,41,Sat Mar  18 12:00:47 2023,33.82916081,-84.36761978,268.0625408
25,21,36,Sat Mar  18 12:01:47 2023,33.83010897,-84.36780831,273.126712
12,9,35,Sat Mar  18 12:02:47 2023,33.83081879,-84.36794599,277.8636964
23,20,34,Sat Mar  18 12:03:47 2023,33.83375016,-84.36797111,287.6414642
25,18,35,Sat Mar  18 12:04:47 2023,33.83566348,-84.36793968,296.7683965
19,14,32,Sat Mar  18 12:05:47 2023,33.84130213,-84.37010135,298.6727505
17,16,30,Sat Mar  18 12:06:47 2023,33.84493133,-84.36921565,308.7461436
20,15,22,Sat Mar  18 12:07:47 2023,33.84656876,-84.36819272,306.1881999
21,18,32,Sat Mar  18 12:08:47 2023,33.85010894,-84.36229357,308.6047625
13,10,28,Sat Mar  18 12:09:47 2023,33.85022227,-84.36218291,309.508355
35,24,44,Sat Mar  18 12:10:47 2023,33.85031691,-84.3621071,310.2392291
10,14,33,Sat Mar  18 12:11:47 2023,33.85248338,-84.36044589,309.6734112
16,15,31,Sat Mar  18 12:12:47 2023,33.85507076,-84.35309365,306.9201352
16,14,37,Sat Mar  18 12:13:47 2023,33.85771893,-84.34640865,306.5891227
25,27,44,Sat Mar  18 12:14:47 2023,33.85747748,-84.34343207,306.4015368
20,18,35,Sat Mar  18 12:15:47 2023,33.85811702,-84.34058416,296.9077076
16,10,34,Sat Mar  18 12:16:47 2023,33.8521925,-84.33907734,299.3071803
18,10,27,Sat Mar  18 12:17:47 2023,33.8459776,-84.3392074,297.6650162
13,16,28,Sat Mar  18 12:18:47 2023,33.84018112,-84.34276854,301.9722817
16,9,19,Sat Mar  18 12:19:47 2023,33.83392255,-84.34076972,269.0196712
13,13,26,Sat Mar  18 12:20:47 2023,33.83133402,-84.33445559,275.5511035
14,11,29,Sat Mar  18 12:21:47 2023,33.82816294,-84.33079512,283.593508
23,20,32,Sat Mar  18 12:22:47 2023,33.82678733,-84.32561165,291.3895692
16,15,24,Sat Mar  18 12:23:47 2023,33.82462743,-84.32091245,297.9304326
16,14,27,Sat Mar  18 12:24:47 2023,33.82179548,-84.31540279,307.8067474
16,15,23,Sat Mar  18 12:25:47 2023,33.81564122,-84.31040326,305.8377746
8,7,20,Sat Mar  18 12:26:47 2023,33.81269177,-84.30488655,298.9047862
17,11,27,Sat Mar  18 12:27:47 2023,33.81263078,-84.29683828,280.9845733
19,15,27,Sat Mar  18 12:28:47 2023,33.81096122,-84.2872898,306.0543899
13,9,31,Sat Mar  18 12:29:47 2023,33.81106098,-84.27617072,291.8356912
9,11,25,Sat Mar  18 12:30:47 2023,33.81041074,-84.27387423,291.1217202
17,12,26,Sat Mar  18 12:31:47 2023,33.80874741,-84.26929383,284.0528428
13,8,13,Sat Mar  18 12:32:47 2023,33.8041011,-84.2673728,299.2850662
17,11,24,Sat Mar  18 12:33:47 2023,33.79760945,-84.26465005,309.5209614
14,11,36,Sat Mar  18 12:34:47 2023,33.79481279,-84.26318779,315.0218247
12,5,21,Sat Mar  18 12:35:47 2023,33.79375438,-84.263841,313.5867467
10,7,22,Sat Mar  18 12:36:47 2023,33.79342214,-84.26153067,310.635079
13,9,18,Sat Mar  18 12:37:47 2023,33.78977657,-84.25262405,294.485594
13,8,17,Sat Mar  18 12:38:47 2023,33.78581731,-84.24387022,283.5818984
13,10,27,Sat Mar  18 12:39:47 2023,33.7856909,-84.2370476,299.8145142
13,12,19,Sat Mar  18 12:40:47 2023,33.78669026,-84.23427046,298.1200286
6,5,25,Sat Mar  18 12:41:47 2023,33.78671373,-84.23356806,296.6786849
12,9,19,Sat Mar  18 12:42:47 2023,33.78950693,-84.23108311,286.4045931
11,10,21,Sat Mar  18 12:43:47 2023,33.79448451,-84.22650536,286.2413952
12,7,23,Sat Mar  18 12:44:47 2023,33.79827823,-84.22183201,299.6105552
11,8,30,Sat Mar  18 12:45:47 2023,33.80087954,-84.2089753,301.8662684
10,7,23,Sat Mar  18 12:46:47 2023,33.80040291,-84.19666663,308.7085829
12,10,25,Sat Mar  18 12:47:47 2023,33.80186728,-84.19422141,305.2599444
14,7,21,Sat Mar  18 12:48:47 2023,33.80441671,-84.18979712,315.2882531
13,12,29,Sat Mar  18 12:49:47 2023,33.80610859,-84.18692888,320.445033
11,9,18,Sat Mar  18 12:50:47 2023,33.80658241,-84.17741459,293.2726012
12,14,26,Sat Mar  18 12:51:47 2023,33.80783579,-84.17314347,314.327563
11,9,26,Sat Mar  18 12:52:47 2023,33.80812656,-84.17076656,318.1667372
15,11,20,Sat Mar  18 12:53:47 2023,33.80857813,-84.16839403,314.1152568
6,6,19,Sat Mar  18 12:54:47 2023,33.81007958,-84.16387759,304.5978252
8,7,17,Sat Mar  18 12:55:47 2023,33.81240431,-84.16196353,299.6342362
6,4,18,Sat Mar  18 12:56:47 2023,33.81276656,-84.16223423,297.7231893
7,5,23,Sat Mar  18 12:57:47 2023,33.81278723,-84.16251097,296.6812233
12,8,23,Sat Mar  18 12:58:47 2023,33.81321903,-84.16731865,309.3246105
13,13,25,Sat Mar  18 12:59:47 2023,33.81322028,-84.16730455,309.4063238
4,3,18,Sat Mar  18 13:00:47 2023,33.81318496,-84.16732512,309.8053396
8,8,19,Sat Mar  18 13:01:47 2023,33.81322387,-84.16730916,309.5748749
12,10,20,Sat Mar  18 13:02:47 2023,33.81321408,-84.16733127,309.5414058
11,6,19,Sat Mar  18 13:03:47 2023,33.81317062,-84.16732074,309.6952408
12,9,15,Sat Mar  18 13:04:47 2023,33.81051781,-84.17655872,304.8072097
8,7,16,Sat Mar  18 13:05:47 2023,33.8081212,-84.18474673,322.4571959
2,5,11,Sat Mar  18 13:06:47 2023,33.80429526,-84.19047454,314.68791
14,8,21,Sat Mar  18 13:07:47 2023,33.80149283,-84.19504974,307.3902103
6,4,18,Sat Mar  18 13:08:47 2023,33.80119891,-84.20618855,305.1585671
12,5,18,Sat Mar  18 13:09:47 2023,33.80135796,-84.21163157,290.7330555
10,10,20,Sat Mar  18 13:10:47 2023,33.80142673,-84.21162514,290.3573559
10,8,13,Sat Mar  18 13:11:47 2023,33.80148841,-84.2116439,290.9780161
16,9,19,Sat Mar  18 13:12:47 2023,33.80155384,-84.21178903,290.7720553
7,10,20,Sat Mar  18 13:13:47 2023,33.80154961,-84.21178626,290.7409557
6,6,17,Sat Mar  18 13:14:47 2023,33.80155313,-84.21182997,290.6313512
9,6,17,Sat Mar  18 13:15:47 2023,33.80151861,-84.21187573,290.6130599
14,9,18,Sat Mar  18 13:16:47 2023,33.80145773,-84.21188121,290.5081711
11,6,14,Sat Mar  18 13:17:47 2023,33.80083854,-84.21233747,288.3089766
9,7,21,Sat Mar  18 13:18:47 2023,33.79771986,-84.22325824,301.0778299
11,5,15,Sat Mar  18 13:19:47 2023,33.79611209,-84.22527782,293.5221954
14,8,17,Sat Mar  18 13:20:47 2023,33.79042198,-84.23046908,282.2598637
10,6,12,Sat Mar  18 13:21:47 2023,33.78728241,-84.2334007,296.943555
8,7,15,Sat Mar  18 13:22:47 2023,33.78484026,-84.23550419,291.165448
9,6,20,Sat Mar  18 13:23:47 2023,33.77958201,-84.23926068,285.7205043
16,10,16,Sat Mar  18 13:24:47 2023,33.77835565,-84.2412326,295.6519293
9,6,13,Sat Mar  18 13:25:47 2023,33.77232224,-84.24941065,315.8372983
5,2,21,Sat Mar  18 13:26:47 2023,33.77207186,-84.24956565,320.7875393
18,11,20,Sat Mar  18 13:27:47 2023,33.76551723,-84.25487645,314.856953
7,6,19,Sat Mar  18 13:28:47 2023,33.75725829,-84.26432239,301.1974773
6,6,11,Sat Mar  18 13:29:47 2023,33.75544211,-84.26701344,303.0562402
10,9,14,Sat Mar  18 13:30:47 2023,33.75313397,-84.27081338,306.0571785
8,9,14,Sat Mar  18 13:31:47 2023,33.75060178,-84.27492418,307.9324583
10,7,13,Sat Mar  18 13:32:47 2023,33.7481782,-84.28084414,280.1973056
7,6,21,Sat Mar  18 13:33:47 2023,33.74719414,-84.29058708,313.0157389
8,10,13,Sat Mar  18 13:34:47 2023,33.74721643,-84.29845001,298.9101869
7,10,12,Sat Mar  18 13:35:47 2023,33.74728522,-84.30490319,308.7325227
9,9,17,Sat Mar  18 13:36:47 2023,33.74734477,-84.30963308,310.9965474
6,5,10,Sat Mar  18 13:37:47 2023,33.74738575,-84.31215837,311.2120767
8,3,23,Sat Mar  18 13:38:47 2023,33.74742293,-84.32225431,304.9783338
16,10,9,Sat Mar  18 13:39:47 2023,33.74748965,-84.32856256,294.5621717
8,9,15,Sat Mar  18 13:40:47 2023,33.74755445,-84.33312789,292.1001616
11,9,22,Sat Mar  18 13:41:47 2023,33.74761943,-84.3386169,289.3856413
8,8,17,Sat Mar  18 13:42:47 2023,33.74765421,-84.34569978,296.5900917
9,7,11,Sat Mar  18 13:43:47 2023,33.74765465,-84.34850817,309.1718554
5,10,10,Sat Mar  18 13:44:47 2023,33.7467515,-84.35364216,317.0438426
8,8,15,Sat Mar  18 13:45:47 2023,33.74664614,-84.35730272,310.5506688
6,5,16,Sat Mar  18 13:46:47 2023,33.74667687,-84.358811,307.2562358
5,5,9,Sat Mar  18 13:47:47 2023,33.74674147,-84.36221015,297.8550045
4,6,9,Sat Mar  18 13:48:47 2023,33.74672074,-84.36531827,301.2918615
6,4,13,Sat Mar  18 13:49:47 2023,33.74674898,-84.36695343,304.4467795
6,6,18,Sat Mar  18 13:50:47 2023,33.74675656,-84.36723685,304.5159732
11,7,17,Sat Mar  18 13:51:47 2023,33.74675038,-84.36723879,304.4340641
8,7,17,Sat Mar  18 13:52:47 2023,33.74682502,-84.3718566,314.2838297
13,8,20,Sat Mar  18 13:53:47 2023,33.74690145,-84.37624232,317.0004735
7,7,16,Sat Mar  18 13:54:47 2023,33.74859196,-84.37662208,312.6926056
4,2,12,Sat Mar  18 13:55:47 2023,33.74996396,-84.37664492,309.9255773
4,2,14,Sat Mar  18 13:56:47 2023,33.75155691,-84.37774016,304.0597494
7,8,11,Sat Mar  18 13:57:47 2023,33.75200423,-84.37847562,305.6914202
12,13,22,Sat Mar  18 13:58:47 2023,,,
4,2,12,Sat Mar  18 13:59:47 2023,,,
15,6,17,Sat Mar  18 14:00:47 2023,,,
5,3,10,Sat Mar  18 14:01:47 2023,,,
4,2,9,Sat Mar  18 14:02:47 2023,,,
7,7,14,Sat Mar  18 14:03:47 2023,,,
2,2,8,Sat Mar  18 14:04:47 2023,,,
7,5,12,Sat Mar  18 14:05:47 2023,,,
5,5,17,Sat Mar  18 14:06:47 2023,,,
6,2,11,Sat Mar  18 14:07:47 2023,,,
5,4,16,Sat Mar  18 14:08:47 2023,,,
4,3,15,Sat Mar  18 14:09:47 2023,,,
12,8,17,Sat Mar  18 14:10:47 2023,,,
10,7,13,Sat Mar  18 14:11:47 2023,,,
2,1,9,Sat Mar  18 14:12:47 2023,,,
5,7,13,Sat Mar  18 14:13:47 2023,,,
4,2,4,Sat Mar  18 14:14:47 2023,,,
6,6,12,Sat Mar  18 14:15:47 2023,,,
5,5,15,Sat Mar  18 14:16:47 2023,,,
4,2,10,Sat Mar  18 14:17:47 2023,,,
7,9,11,Sat Mar  18 14:18:47 2023,,,
3,4,8,Sat Mar  18 14:19:47 2023,,,
7,4,10,Sat Mar  18 14:20:47 2023,,,
4,6,12,Sat Mar  18 14:21:47 2023,,,
6,4,10,Sat Mar  18 14:22:47 2023,,,
13,9,18,Sat Mar  18 14:23:47 2023,,,
10,6,11,Sat Mar  18 14:24:47 2023,,,
9,10,12,Sat Mar  18 14:25:47 2023,,,
9,4,11,Sat Mar  18 14:26:47 2023,,,
5,2,9,Sat Mar  18 14:27:47 2023,,,
7,5,11,Sat Mar  18 14:28:47 2023,,,
9,5,12,Sat Mar  18 14:29:47 2023,,,
